,Mother_Eductaion,Binned_Revision_Time,Father_Education,Wants_Higher_Education,Age,Past_Class_Failures,Week_Drugs_Consumption,Abscence,Extra_Activities,Internet_Access,Final_grade
1289,3,short_time,1,yes,19,1,3,2,no,no,Low
1290,3,Medium_time,2,yes,16,0,1,0,no,yes,Medium
1291,2,Medium_time,2,yes,15,0,2,6,no,yes,Medium
1292,2,short_time,2,yes,16,1,2,5,no,no,Medium
1293,4,long_time,2,yes,15,0,2,75,yes,yes,Medium
1294,1,short_time,1,yes,17,1,2,4,no,yes,Medium
1295,3,Medium_time,3,yes,15,0,3,0,no,yes,Medium
1296,4,very_long_time,4,yes,15,0,2,4,yes,yes,Medium
1297,0,short_time,1,yes,20,1,2,0,yes,yes,Medium
1298,1,Medium_time,1,no,17,1,3,4,yes,no,Low
1299,4,Medium_time,4,yes,15,0,3,0,yes,yes,Medium
1300,3,short_time,2,yes,16,0,2,2,yes,yes,High
1301,3,Medium_time,2,yes,16,0,2,8,yes,yes,Medium
1302,1,short_time,3,yes,17,0,2,0,no,yes,Medium
1303,3,Medium_time,2,yes,18,0,1,11,yes,yes,Medium
1304,4,Medium_time,4,yes,16,0,3,0,yes,yes,Medium
1305,3,Medium_time,2,yes,17,0,2,6,no,yes,Medium
1306,3,long_time,4,yes,18,1,1,4,no,yes,Medium
1307,4,Medium_time,4,yes,16,0,4,7,no,yes,Medium
1308,4,Medium_time,4,yes,15,0,3,2,no,yes,Medium
1309,0,short_time,2,yes,16,1,3,0,no,yes,Medium
1310,1,short_time,1,yes,18,2,2,0,yes,yes,Low
1311,1,Medium_time,3,yes,16,0,2,0,no,yes,Medium
1312,4,Medium_time,2,yes,16,0,3,6,no,no,Medium
1313,1,short_time,1,no,19,1,3,6,no,no,Low
1314,2,Medium_time,1,yes,18,1,3,2,yes,yes,Low
1315,3,Medium_time,2,yes,16,0,3,4,no,yes,Medium
1316,3,short_time,1,yes,18,1,2,4,yes,yes,Low
1317,4,Medium_time,4,yes,17,0,2,5,no,yes,High
1318,2,Medium_time,2,yes,15,0,2,0,yes,yes,Medium
1319,3,Medium_time,4,yes,16,0,2,8,yes,yes,Medium
1320,3,short_time,1,no,19,0,2,8,yes,yes,Low
1321,3,Medium_time,2,yes,16,0,3,11,yes,yes,Medium
1322,3,short_time,3,yes,16,0,1,2,no,yes,Medium
1323,2,Medium_time,2,yes,17,0,1,6,no,yes,Medium
1324,2,Medium_time,2,yes,17,0,1,0,no,yes,Medium
1325,1,Medium_time,1,no,19,1,2,12,no,yes,Medium
1326,1,Medium_time,2,yes,17,0,2,8,yes,yes,Medium
1327,2,long_time,2,yes,16,0,3,4,no,yes,Medium
1328,3,Medium_time,2,yes,17,0,5,0,no,yes,Low
1329,4,long_time,3,yes,15,0,2,0,yes,yes,Low
1330,1,Medium_time,1,no,19,1,1,18,yes,yes,Low
1331,4,long_time,4,yes,17,0,1,4,yes,yes,Medium
1332,3,Medium_time,2,yes,15,0,2,2,no,yes,Medium
1333,3,Medium_time,4,yes,18,0,1,4,no,yes,Medium
1334,1,short_time,1,no,19,1,5,0,no,yes,Low
1335,4,long_time,2,yes,15,0,4,0,no,yes,High
1336,3,Medium_time,1,yes,17,0,3,8,yes,yes,Medium
1337,1,Medium_time,1,no,19,1,5,4,no,yes,Low
1338,3,Medium_time,2,yes,18,0,3,4,no,no,High
1339,4,Medium_time,3,yes,15,0,1,0,yes,yes,Medium
1340,4,Medium_time,2,yes,15,0,1,4,no,yes,High
1341,4,short_time,2,yes,15,1,3,4,no,yes,Low
1342,2,Medium_time,2,yes,16,1,4,2,no,yes,Medium
1343,3,Medium_time,1,yes,16,0,5,14,yes,yes,Medium
1344,1,Medium_time,1,no,19,1,3,0,yes,yes,Low
1345,1,short_time,1,no,19,3,5,0,yes,yes,Low
1346,1,short_time,3,yes,15,0,3,0,no,yes,Medium
1347,3,very_long_time,2,yes,15,0,1,0,yes,yes,Medium
1348,3,short_time,3,yes,16,0,1,4,no,yes,Medium
1349,1,Medium_time,2,no,16,1,5,3,no,yes,Low
1350,2,short_time,2,yes,16,0,3,4,yes,yes,Medium
1351,4,Medium_time,4,yes,16,0,1,0,yes,yes,High
1352,3,Medium_time,4,yes,15,0,3,6,no,yes,Medium
1353,2,Medium_time,2,yes,16,0,2,8,yes,yes,Medium
1354,4,Medium_time,2,yes,15,0,4,2,yes,no,Medium
1355,2,Medium_time,2,yes,16,0,2,0,no,yes,Medium
1356,3,Medium_time,3,yes,16,0,2,0,no,yes,Medium
1357,3,long_time,2,yes,16,0,3,8,no,yes,Medium
1358,3,Medium_time,2,yes,16,0,3,2,yes,yes,Medium
1359,2,Medium_time,2,yes,17,1,3,4,no,yes,Medium
1360,2,Medium_time,3,yes,15,0,3,4,yes,yes,Medium
1361,3,short_time,4,yes,18,0,1,0,yes,yes,Medium
1362,3,Medium_time,2,yes,15,0,4,4,yes,yes,Medium
1363,3,Medium_time,4,yes,16,0,2,0,no,yes,Medium
1364,4,long_time,4,yes,15,0,3,0,yes,yes,High
1365,3,Medium_time,2,yes,16,0,3,4,no,no,Low
1366,3,Medium_time,2,yes,18,0,2,2,yes,yes,Medium
1367,3,Medium_time,4,yes,17,0,4,14,no,yes,Medium
1368,1,Medium_time,1,no,19,1,5,12,no,yes,Low
1369,4,Medium_time,2,yes,17,0,3,6,yes,yes,Medium
1370,2,Medium_time,1,yes,16,0,3,6,yes,yes,Medium
1371,3,Medium_time,2,yes,17,0,5,0,no,yes,Medium
1372,3,short_time,3,yes,15,0,2,0,no,yes,Medium
1373,2,Medium_time,2,yes,16,0,3,2,no,yes,Medium
1374,3,Medium_time,2,yes,16,0,3,0,no,yes,Medium
1375,1,short_time,0,no,17,1,4,2,no,no,Medium
1376,2,Medium_time,4,yes,16,0,1,6,yes,no,Medium
1377,3,Medium_time,2,yes,18,0,2,0,no,yes,Low
1378,4,Medium_time,3,yes,15,0,1,4,no,yes,Medium
1379,1,short_time,2,yes,16,0,5,0,no,no,Medium
1380,3,Medium_time,2,yes,16,0,2,0,no,yes,Medium
1381,1,short_time,2,no,19,1,1,0,no,yes,Low
1382,3,short_time,2,yes,16,0,4,4,no,no,Medium
1383,3,Medium_time,2,yes,15,2,3,4,yes,no,Medium
1384,4,Medium_time,4,yes,16,0,3,0,yes,yes,Medium
1385,3,long_time,4,yes,16,0,1,4,yes,yes,High
1386,4,Medium_time,4,yes,17,0,3,4,yes,yes,High
1387,2,Medium_time,4,yes,15,0,1,0,no,yes,Medium
1388,1,Medium_time,1,no,19,1,3,0,no,yes,Low
1389,3,long_time,3,yes,15,0,3,8,yes,yes,Medium
1390,3,very_long_time,2,yes,17,0,1,0,yes,yes,Medium
1391,2,Medium_time,4,yes,16,0,1,2,no,yes,Medium
1392,1,short_time,2,no,19,3,3,0,yes,no,Medium
1393,1,short_time,1,no,19,1,2,0,yes,no,Low
1394,4,long_time,4,yes,16,0,4,2,yes,yes,Medium
1395,3,Medium_time,2,yes,20,0,4,0,no,yes,Medium
1396,3,Medium_time,2,no,19,1,1,0,yes,yes,Low
1397,3,Medium_time,3,yes,16,0,2,2,no,yes,Medium
1398,1,Medium_time,2,yes,20,2,4,0,yes,yes,Medium
1399,3,Medium_time,2,yes,15,0,2,4,yes,yes,Medium
1400,3,Medium_time,3,yes,17,0,1,2,yes,yes,Medium
1401,4,Medium_time,3,yes,17,0,2,4,yes,yes,Medium
1402,3,short_time,1,yes,16,0,1,4,yes,no,Medium
1403,3,Medium_time,4,yes,16,0,3,12,yes,yes,Medium
1404,3,Medium_time,2,yes,16,0,2,4,yes,yes,Medium
1405,4,short_time,2,yes,18,0,3,3,yes,yes,Medium
1406,1,Medium_time,2,yes,16,0,3,8,yes,yes,High
1407,4,Medium_time,3,yes,15,0,2,4,yes,yes,High
1408,1,Medium_time,4,yes,15,0,3,10,yes,yes,Medium
1409,2,very_long_time,2,yes,15,0,2,2,yes,yes,Medium
1410,2,long_time,2,no,16,1,5,4,yes,yes,Medium
1411,1,short_time,0,yes,18,0,2,6,yes,no,Medium
1412,3,Medium_time,3,yes,15,0,1,2,yes,yes,Medium
1413,4,Medium_time,3,yes,16,0,1,0,no,yes,Medium
1414,3,short_time,1,yes,17,1,4,0,no,yes,Medium
1415,3,Medium_time,2,yes,16,0,3,4,no,yes,Medium
1416,3,Medium_time,2,yes,17,0,2,4,no,yes,Medium
1417,2,long_time,1,yes,17,0,5,8,yes,yes,Medium
1418,2,Medium_time,1,yes,18,0,2,0,no,yes,Medium
1419,3,short_time,2,yes,15,0,4,4,no,yes,Medium
1420,3,long_time,1,yes,16,0,2,16,yes,yes,Medium
1421,1,Medium_time,2,no,17,1,1,6,no,no,Low
1422,3,very_long_time,4,yes,16,0,3,4,yes,yes,Medium
1423,3,Medium_time,4,yes,16,0,2,0,no,yes,Medium
1424,3,short_time,1,yes,18,1,1,4,no,yes,Medium
1425,4,Medium_time,4,yes,16,0,2,4,yes,yes,Medium
1426,1,short_time,1,yes,16,1,5,12,yes,yes,Low
1427,0,short_time,1,yes,17,2,1,16,no,no,Medium
1428,3,Medium_time,2,yes,18,0,4,8,no,yes,Medium
1429,3,Medium_time,1,yes,18,0,5,12,no,no,Medium
1430,3,long_time,4,yes,16,0,2,4,yes,yes,Medium
1431,3,Medium_time,2,yes,16,0,1,4,yes,yes,Medium
1432,3,Medium_time,1,yes,18,0,2,3,yes,yes,Medium
1433,3,short_time,1,no,19,1,5,0,no,yes,Medium
1434,4,Medium_time,2,no,17,0,3,12,yes,no,High
1435,3,long_time,2,yes,15,0,1,4,yes,yes,High
1436,3,Medium_time,4,yes,17,0,2,0,no,yes,Medium
1437,1,Medium_time,1,no,16,1,2,0,no,yes,Low
1438,4,Medium_time,2,yes,16,0,1,0,yes,yes,Medium
1439,4,Medium_time,2,yes,16,1,2,2,yes,yes,Medium
1440,4,Medium_time,3,yes,16,1,1,8,yes,yes,Medium
1441,3,short_time,2,yes,17,0,4,16,yes,yes,Medium
1442,2,Medium_time,2,yes,15,0,2,0,no,yes,Medium
1443,3,Medium_time,4,yes,15,0,2,75,yes,yes,Medium
1444,2,long_time,2,yes,16,2,1,0,yes,yes,Medium
1445,4,Medium_time,3,yes,15,0,4,8,no,yes,Medium
1446,3,Medium_time,4,yes,16,0,3,6,yes,yes,Medium
1447,3,very_long_time,4,yes,16,0,1,14,no,yes,Medium
1448,4,Medium_time,2,yes,15,0,3,2,yes,yes,Medium
1449,3,Medium_time,2,yes,16,0,2,8,no,yes,Medium
1450,3,Medium_time,2,yes,17,0,2,2,no,yes,Medium
1451,2,Medium_time,2,yes,16,0,1,16,no,yes,Medium
1452,1,short_time,1,no,19,1,5,3,yes,yes,Low
1453,4,Medium_time,4,yes,16,0,3,4,no,yes,Medium
1454,4,Medium_time,2,yes,16,0,2,4,no,no,Medium
1455,3,Medium_time,1,yes,16,1,3,0,yes,yes,Low
1456,4,short_time,2,yes,16,3,2,0,yes,yes,Medium
1457,2,short_time,4,yes,15,0,3,4,no,yes,Medium
1458,2,short_time,2,yes,16,1,3,10,no,yes,Low
1459,3,long_time,2,yes,17,0,2,4,yes,yes,Medium
1460,1,Medium_time,1,no,19,3,5,12,yes,yes,Low
1461,3,Medium_time,3,yes,16,1,2,14,yes,yes,Low
1462,1,short_time,2,no,19,1,1,0,no,yes,Low
1463,2,long_time,4,yes,16,0,1,0,yes,yes,High
1464,3,short_time,2,no,19,1,2,0,no,yes,Low
1465,1,short_time,2,no,19,2,1,0,no,yes,Low
1466,4,Medium_time,4,yes,16,0,3,22,no,yes,Medium
1467,3,short_time,2,yes,16,0,1,0,yes,yes,High
1468,3,Medium_time,2,yes,21,0,2,54,no,yes,Medium
1469,3,long_time,1,yes,19,0,1,0,no,yes,Medium
1470,2,Medium_time,2,no,16,1,3,4,no,yes,Low
1471,3,very_long_time,2,yes,16,0,1,2,no,yes,Low
1472,1,short_time,1,yes,18,1,1,20,yes,yes,Medium
1473,4,Medium_time,2,yes,15,0,2,4,yes,yes,High
1474,3,Medium_time,4,yes,17,0,2,4,no,yes,Medium
1475,1,short_time,1,no,18,1,5,0,no,no,Low
1476,2,Medium_time,2,yes,15,0,1,2,yes,yes,Medium
1477,3,Medium_time,3,yes,15,0,2,8,no,yes,Medium
1478,3,Medium_time,4,yes,15,0,2,2,yes,yes,High
1479,4,Medium_time,3,yes,16,0,3,4,no,yes,High
1480,3,Medium_time,3,yes,18,0,1,6,no,yes,Low
1481,3,short_time,2,yes,17,0,3,0,no,yes,Medium
1482,4,Medium_time,2,yes,16,0,4,12,no,yes,Medium
1483,3,Medium_time,2,yes,17,0,2,16,no,yes,Medium
1484,4,Medium_time,4,yes,16,0,2,4,no,yes,High
1485,4,Medium_time,3,yes,17,0,3,4,no,yes,Medium
1486,4,long_time,4,yes,15,0,1,0,no,yes,Medium
1487,3,Medium_time,3,yes,17,1,3,0,no,no,Medium
1488,4,Medium_time,4,yes,15,0,1,4,yes,yes,Medium
1489,3,Medium_time,2,yes,15,0,1,6,no,yes,Medium
1490,1,Medium_time,1,yes,16,0,2,0,no,no,Medium
1491,1,Medium_time,3,yes,17,0,3,2,yes,yes,High
1492,1,short_time,1,no,19,1,1,3,yes,no,Low
1493,4,long_time,3,yes,15,0,3,6,yes,yes,High
1494,3,Medium_time,2,yes,17,1,1,9,no,yes,Low
1495,3,Medium_time,1,no,19,1,1,10,yes,yes,Low
1496,3,Medium_time,4,yes,16,0,1,0,yes,yes,High
1497,2,Medium_time,2,yes,16,0,2,0,no,no,Medium
1498,2,Medium_time,3,yes,17,2,1,2,yes,no,Low
1499,2,long_time,4,yes,16,0,1,6,yes,yes,Medium
1500,3,short_time,2,yes,16,0,2,5,no,yes,Medium
1501,4,Medium_time,3,yes,16,0,3,0,yes,yes,High
1502,3,long_time,4,yes,17,0,2,0,yes,yes,High
1503,3,Medium_time,0,yes,16,0,3,0,no,yes,Medium
1504,3,Medium_time,1,yes,17,0,3,0,no,yes,Medium
1505,0,Medium_time,3,yes,16,0,1,8,no,yes,Medium
1506,3,Medium_time,1,no,16,1,3,0,no,yes,Low
1507,3,Medium_time,2,yes,15,0,4,0,no,yes,Medium
1508,3,Medium_time,1,yes,18,1,1,0,no,yes,Medium
1509,1,short_time,2,yes,17,0,3,17,yes,no,Medium
1510,4,short_time,4,yes,15,0,4,0,no,yes,High
1511,1,Medium_time,1,no,19,3,3,12,no,no,Low
1512,1,short_time,1,yes,16,1,3,4,no,no,Medium
1513,2,Medium_time,4,yes,17,0,3,0,yes,yes,Medium
1514,1,short_time,1,no,18,1,5,1,no,no,Low
1515,2,Medium_time,3,yes,16,0,2,6,yes,yes,Medium
1516,4,short_time,2,yes,15,2,2,6,no,yes,Medium
1517,3,long_time,3,yes,16,0,3,14,yes,yes,Medium
1518,3,short_time,2,yes,16,0,3,0,no,yes,Medium
1519,3,Medium_time,2,yes,15,0,4,8,no,yes,Low
1520,3,Medium_time,0,yes,16,0,4,0,yes,yes,Medium
1521,2,Medium_time,2,yes,15,0,2,2,no,yes,Medium
1522,4,Medium_time,4,yes,15,0,1,4,yes,yes,High
1523,1,short_time,1,yes,15,0,2,0,no,yes,Medium
1524,2,Medium_time,2,yes,19,1,2,4,yes,yes,Medium
1525,1,Medium_time,1,no,16,1,5,2,no,yes,Medium
1526,2,Medium_time,2,yes,16,0,3,2,yes,yes,Medium
1527,2,Medium_time,4,yes,16,1,2,2,no,yes,Medium
1528,3,Medium_time,4,yes,16,0,1,21,yes,yes,Medium
1529,1,short_time,1,yes,18,1,5,8,no,yes,Low
1530,0,Medium_time,2,yes,18,0,4,14,yes,yes,Medium
1531,2,Medium_time,4,yes,16,0,3,0,yes,yes,Medium
1532,3,Medium_time,2,yes,16,0,2,0,no,yes,Medium
1533,1,Medium_time,2,no,16,1,1,12,no,no,Medium
1534,2,short_time,2,yes,16,0,4,8,no,yes,Medium
1535,4,Medium_time,4,yes,15,0,2,0,yes,yes,Medium
1536,2,Medium_time,0,yes,17,1,3,3,yes,yes,Low
1537,2,Medium_time,2,yes,16,0,1,2,yes,yes,Medium
1538,1,short_time,1,no,19,3,2,12,no,yes,Low
1539,1,Medium_time,1,no,17,2,3,16,no,yes,Low
1540,3,Medium_time,3,yes,16,0,3,0,yes,yes,Medium
1541,3,Medium_time,2,yes,16,0,1,0,yes,yes,Medium
1542,1,short_time,1,no,16,1,2,0,no,no,Low
1543,2,Medium_time,2,yes,17,0,1,0,no,yes,Medium
1544,4,Medium_time,2,yes,16,0,1,4,yes,yes,Medium
1545,4,Medium_time,1,yes,17,0,3,4,yes,yes,High
1546,2,Medium_time,1,yes,17,0,2,4,no,yes,Medium
1547,3,Medium_time,3,yes,15,1,2,8,no,yes,Medium
1548,3,long_time,2,yes,16,0,1,4,no,yes,Medium
1549,1,short_time,2,yes,17,2,2,12,no,no,Medium
1550,3,short_time,3,yes,16,0,1,6,yes,yes,Low
1551,1,Medium_time,1,no,19,3,2,0,no,yes,Low
1552,1,short_time,1,yes,17,0,2,4,no,no,High
1553,2,short_time,2,yes,15,0,1,0,no,yes,Low
1554,4,long_time,2,yes,16,0,1,26,yes,yes,High
1555,3,Medium_time,1,yes,20,0,2,21,yes,yes,Medium
1556,3,Medium_time,3,yes,17,0,3,0,yes,yes,Medium
1557,3,Medium_time,1,yes,16,0,5,0,no,yes,Low
1558,2,Medium_time,1,yes,17,1,3,0,no,no,Medium
1559,1,short_time,1,no,19,3,5,0,no,yes,Low
1560,4,Medium_time,3,yes,16,0,3,0,yes,yes,Medium
1561,3,Medium_time,1,no,18,3,3,0,no,yes,Low
1562,3,Medium_time,4,yes,15,0,3,2,yes,yes,High
1563,2,short_time,1,yes,17,3,3,0,no,no,Low
1564,3,Medium_time,2,yes,16,0,4,4,yes,yes,Medium
1565,4,Medium_time,4,yes,16,0,1,2,no,yes,Medium
1566,2,Medium_time,2,yes,18,1,1,2,no,yes,Medium
1567,4,Medium_time,3,yes,18,0,1,2,yes,yes,High
1568,1,Medium_time,2,yes,17,1,2,2,no,yes,Medium
1569,2,very_long_time,2,yes,15,0,1,0,no,yes,Low
1570,4,Medium_time,4,yes,15,0,2,4,no,no,Medium
1571,3,Medium_time,2,yes,16,0,3,0,yes,yes,Medium
1572,1,Medium_time,1,yes,18,3,3,0,no,yes,Medium
1573,4,Medium_time,1,yes,15,0,1,8,yes,no,Medium
1574,2,short_time,2,yes,20,0,3,2,yes,yes,Medium
1575,3,very_long_time,3,yes,18,0,4,6,yes,no,Medium
1576,4,Medium_time,4,yes,17,0,2,4,yes,yes,High
1577,4,Medium_time,4,yes,16,0,3,4,yes,yes,Medium
1578,3,Medium_time,3,yes,22,0,3,6,yes,yes,Medium
1579,2,very_long_time,2,yes,16,0,1,8,yes,yes,Medium
1580,1,short_time,1,no,19,3,2,0,no,yes,Low
1581,2,Medium_time,4,yes,16,0,3,4,no,yes,Medium
1582,4,Medium_time,4,yes,16,0,1,4,yes,yes,Medium
1583,3,Medium_time,4,yes,15,0,2,4,yes,yes,Medium
1584,3,Medium_time,2,yes,17,0,1,2,no,yes,Medium
1585,1,Medium_time,2,yes,17,0,2,4,yes,yes,Medium
1586,2,short_time,1,yes,16,1,3,4,yes,yes,Medium
1587,3,Medium_time,2,yes,15,0,3,2,yes,yes,High
1588,1,Medium_time,3,yes,18,0,4,0,yes,yes,Medium
1589,2,Medium_time,4,yes,17,0,1,0,yes,yes,Medium
1590,4,Medium_time,4,yes,15,0,2,14,yes,yes,High
1591,1,short_time,1,no,20,0,5,12,no,yes,Low
1592,4,Medium_time,2,yes,17,0,2,0,yes,yes,Low
1593,3,Medium_time,1,yes,16,1,2,0,no,no,Low
1594,1,Medium_time,1,no,16,1,5,9,yes,no,Medium
1595,3,short_time,2,yes,16,1,4,0,yes,yes,Medium
1596,3,Medium_time,4,yes,17,0,2,4,no,no,Medium
1597,1,Medium_time,1,no,19,1,2,0,no,yes,Low
1598,3,short_time,1,yes,18,2,3,8,no,yes,Medium
1599,4,Medium_time,2,yes,15,1,1,6,no,yes,Medium
1600,3,Medium_time,4,yes,15,0,2,2,no,yes,Medium
1601,3,short_time,1,yes,19,1,3,18,yes,yes,Low
1602,3,Medium_time,2,yes,17,0,3,8,yes,yes,Medium
1603,2,Medium_time,3,yes,16,0,2,4,no,yes,Medium
1604,4,short_time,4,yes,17,0,1,10,yes,yes,Medium
1605,1,Medium_time,1,no,19,1,3,4,no,no,Low
1606,4,Medium_time,4,yes,20,0,2,0,yes,no,Medium
1607,1,Medium_time,2,yes,19,0,2,2,yes,yes,Medium
1608,1,Medium_time,1,yes,18,3,1,4,yes,yes,Low
1609,4,very_long_time,2,yes,15,0,3,0,yes,yes,Medium
1610,3,Medium_time,3,no,16,1,2,14,no,yes,Low
1611,2,Medium_time,0,yes,15,0,2,4,no,yes,Medium
1612,3,short_time,3,yes,17,1,5,1,yes,no,Medium
1613,4,Medium_time,1,yes,15,0,2,4,no,yes,Medium
1614,3,Medium_time,2,yes,16,0,1,0,yes,yes,Low
1615,3,Medium_time,2,yes,17,0,1,0,no,yes,Low
1616,1,Medium_time,2,yes,16,0,2,7,yes,yes,Medium
1617,3,Medium_time,2,yes,16,0,3,3,no,no,Medium
1618,2,very_long_time,2,yes,15,0,1,0,yes,yes,Medium
1619,3,Medium_time,1,yes,17,0,2,7,no,yes,Medium
1620,4,Medium_time,3,yes,16,0,2,0,yes,yes,Medium
1621,2,Medium_time,2,yes,16,0,3,2,yes,yes,Medium
1622,3,long_time,2,yes,16,0,1,2,yes,yes,Medium
1623,4,very_long_time,4,yes,15,0,1,0,no,yes,High
1624,3,short_time,2,yes,16,1,2,0,no,yes,Medium
1625,4,Medium_time,4,yes,16,0,1,4,yes,yes,Medium
1626,2,short_time,1,yes,19,1,5,0,no,no,Medium
1627,3,short_time,4,yes,18,0,2,6,yes,yes,Medium
1628,3,Medium_time,2,yes,16,0,2,4,yes,yes,Medium
1629,3,long_time,1,yes,17,2,5,22,no,yes,Medium
1630,2,Medium_time,2,yes,16,1,2,4,no,yes,Medium
1631,2,Medium_time,2,yes,18,1,2,10,no,no,Medium
1632,1,Medium_time,1,yes,19,1,1,4,no,yes,Low
1633,4,short_time,3,yes,16,0,4,0,yes,yes,Medium
1634,3,Medium_time,3,yes,15,0,3,8,yes,yes,Medium
1635,1,short_time,1,no,17,3,5,12,no,no,Low
1636,3,Medium_time,1,yes,20,1,5,15,yes,yes,Low
1637,1,Medium_time,1,no,18,1,1,6,no,no,Medium
1638,2,Medium_time,2,yes,16,0,4,4,yes,yes,Medium
1639,3,Medium_time,2,yes,18,0,4,4,yes,no,Medium
1640,2,short_time,1,yes,18,0,3,1,no,yes,High
1641,3,short_time,1,yes,16,0,3,20,yes,yes,Medium
1642,2,Medium_time,2,yes,16,0,1,0,no,yes,Medium
1643,1,short_time,1,no,19,1,2,4,yes,yes,Low
1644,3,Medium_time,1,yes,18,0,3,4,yes,yes,Medium
1645,2,long_time,2,yes,17,0,3,0,yes,yes,Medium
1646,2,Medium_time,2,yes,16,0,2,4,yes,yes,Medium
1647,3,Medium_time,3,yes,16,0,2,2,no,yes,Medium
1648,3,short_time,2,no,18,1,5,4,no,yes,Low
1649,1,Medium_time,2,yes,20,0,1,0,no,yes,Medium
1650,1,short_time,1,no,19,1,5,4,no,no,Low
1651,4,Medium_time,4,yes,18,0,1,0,yes,yes,High
1652,3,Medium_time,2,yes,15,0,3,4,no,yes,Medium
1653,3,Medium_time,3,yes,15,0,2,2,yes,yes,Medium
1654,3,Medium_time,2,yes,17,0,2,8,no,yes,Medium
1655,3,Medium_time,1,yes,18,1,2,13,yes,yes,Medium
1656,4,Medium_time,2,yes,15,0,2,8,yes,no,Medium
1657,1,Medium_time,1,no,18,0,2,0,no,yes,Medium
1658,3,Medium_time,0,yes,16,0,2,0,yes,yes,Medium
1659,4,Medium_time,4,yes,16,0,1,4,yes,yes,High
1660,0,Medium_time,2,yes,16,2,2,2,yes,no,Medium
1661,2,Medium_time,2,yes,16,0,1,0,yes,yes,Medium
1662,4,Medium_time,1,yes,15,0,1,2,yes,yes,Medium
1663,3,Medium_time,1,yes,18,1,2,6,yes,yes,Medium
1664,1,Medium_time,2,yes,19,1,5,5,yes,yes,Medium
1665,4,Medium_time,4,yes,15,0,1,3,yes,yes,Medium
1666,1,long_time,2,no,17,2,2,16,no,no,Low
1667,3,Medium_time,3,yes,17,0,2,0,yes,yes,Medium
1668,2,Medium_time,1,yes,19,1,3,0,yes,yes,Medium
1669,4,Medium_time,4,yes,17,0,3,0,yes,yes,High
1670,1,short_time,1,yes,16,2,5,4,no,yes,Medium
1671,4,Medium_time,3,yes,15,0,1,2,yes,yes,Medium
1672,1,Medium_time,2,yes,17,1,2,14,yes,yes,Medium
1673,2,Medium_time,2,yes,16,0,5,0,no,yes,Medium
1674,2,Medium_time,2,yes,15,0,3,0,yes,yes,Low
1675,3,Medium_time,2,yes,15,0,2,0,yes,yes,Medium
1676,3,Medium_time,3,yes,16,0,3,23,yes,yes,Medium
1677,4,Medium_time,2,yes,15,0,3,12,yes,yes,Medium
1678,3,short_time,1,no,19,1,5,4,no,yes,Low
1679,3,Medium_time,2,yes,15,0,4,8,yes,yes,Low
1680,1,Medium_time,1,yes,17,0,5,0,no,yes,Low
1681,1,short_time,2,yes,16,1,5,4,yes,yes,Low
1682,1,Medium_time,1,no,17,2,2,6,yes,yes,Low
1683,1,Medium_time,1,yes,16,0,3,8,yes,yes,Medium
1684,1,short_time,1,no,19,3,5,0,no,no,Low
1685,2,Medium_time,1,yes,16,0,2,0,yes,yes,Medium
1686,4,Medium_time,3,yes,17,0,3,4,yes,yes,Medium
1687,4,Medium_time,3,yes,15,0,1,8,yes,yes,High
1688,2,Medium_time,2,yes,16,0,3,8,yes,yes,Medium
1689,3,Medium_time,2,yes,16,1,5,4,yes,yes,Medium
1690,1,Medium_time,2,yes,15,0,1,12,no,no,High
1691,3,Medium_time,2,yes,16,2,2,0,no,no,Low
1692,1,Medium_time,2,yes,19,0,2,12,yes,no,Low
1693,4,long_time,4,yes,16,0,3,2,yes,yes,Medium
1694,4,Medium_time,2,yes,15,0,2,2,no,yes,Medium
1695,3,Medium_time,2,yes,19,0,3,9,no,no,Medium
1696,3,short_time,1,yes,18,0,3,0,no,yes,Medium
1697,3,Medium_time,1,yes,18,1,4,2,no,yes,Medium
1698,3,Medium_time,3,yes,15,0,3,4,no,yes,Medium
1699,2,short_time,2,no,16,1,3,2,no,no,Medium
1700,4,Medium_time,4,yes,15,0,3,0,no,yes,High
1701,1,short_time,1,yes,18,1,1,0,no,yes,Low
1702,2,Medium_time,2,yes,16,0,3,0,yes,yes,Medium
1703,3,short_time,0,yes,17,0,3,3,no,yes,Medium
1704,4,long_time,4,yes,16,0,4,4,no,yes,Medium
1705,1,Medium_time,1,yes,16,0,2,6,yes,yes,Low
1706,2,Medium_time,3,yes,16,0,2,15,no,no,Medium
1707,3,Medium_time,4,yes,15,0,1,0,yes,yes,High
1708,2,long_time,3,yes,18,0,2,0,yes,yes,Low
1709,1,Medium_time,2,yes,15,0,3,6,no,yes,Medium
1710,3,short_time,1,yes,17,0,3,8,no,yes,Medium
1711,0,Medium_time,3,yes,17,0,3,16,yes,yes,Medium
1712,2,short_time,2,yes,16,0,1,8,yes,yes,Medium
1713,3,short_time,2,yes,17,0,4,4,yes,yes,Medium
1714,3,short_time,1,no,19,3,5,0,yes,no,Low
1715,4,Medium_time,2,yes,17,0,4,4,yes,yes,Medium
1716,4,Medium_time,1,yes,20,1,5,12,yes,yes,Medium
1717,2,Medium_time,2,yes,16,1,5,0,no,yes,Low
1718,2,Medium_time,2,yes,15,1,2,6,no,yes,Medium
1719,2,very_long_time,2,yes,15,0,1,0,no,yes,Medium
